population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
no_response_ge2_queue,device_model,ThinkPad T14s Gen 3,9,0,0.0,0.0181,0.0,0.1287,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad T16 Gen 5,10,0,0.0,0.0168,0.0,0.1192,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad T14 Gen 5,10,0,0.0,0.0168,0.0,0.1192,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad P1 Gen 6,10,0,0.0,0.0168,0.0,0.1192,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad T14 Gen 7,12,0,0.0,0.0146,0.0,0.1038,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad T14 Gen 6,13,0,0.0,0.0137,0.0,0.0975,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad P1 Gen 7,13,0,0.0,0.0137,0.0,0.0975,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad X1 2-in-1 Gen 9,22,0,0.0,0.0088,0.0,0.0631,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad X9-14 Gen 1,23,0,0.0,0.0085,0.0,0.0607,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad X1 2-in-1 Gen 11,24,0,0.0,0.0082,0.0,0.0585,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
no_response_ge2_queue,device_model,ThinkPad T14s Gen 6,54,0,0.0,0.0039,0.0,0.0279,1.0,1.0,0.0745,56,False,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B10W13974,19,1,0.0526,0.0256,0.001,0.087,0.10031,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B10W13975,26,1,0.0385,0.0221,0.0009,0.0755,0.1353,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B10W13973,30,1,0.0333,0.0206,0.0008,0.0702,0.15482,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90125,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90106,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B10W51875,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B10W51883,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56412,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90164,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90171,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56397,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56406,5,0,0.0,0.0049,0.0,0.0413,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56407,6,0,0.0,0.0048,0.0,0.04,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90169,6,0,0.0,0.0048,0.0,0.04,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56401,6,0,0.0,0.0048,0.0,0.04,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,LNV-5B11M90101@,6,0,0.0,0.0048,0.0,0.04,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,L24B4PE2,6,0,0.0,0.0048,0.0,0.04,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90121,7,0,0.0,0.0046,0.0,0.0388,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90105,7,0,0.0,0.0046,0.0,0.0388,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,LNV-5B11M90101,7,0,0.0,0.0046,0.0,0.0388,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11K07737,7,0,0.0,0.0046,0.0,0.0388,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56402,7,0,0.0,0.0046,0.0,0.0388,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90051,8,0,0.0,0.0045,0.0,0.0377,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
