group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
device_model,ThinkPad L16 Gen 2,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T16 Gen 2,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X13 Gen 5,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s 2-in-1 Gen 2,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P1 Gen 9,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P14s Gen 5,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P16 Gen 2,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Fold 16 Gen 1,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s 2-in-1 Gen 1,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T1g Gen 8,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad Z13 Gen 2,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 1,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P16v Gen 1,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P14s Gen 6,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X12 Detachable Gen 2,6,0,0.0,0.0022,0.0,0.0253,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s Gen 5,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X13 2-in-1 Gen 5,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X13 Gen 4,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X13 Gen 6,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s Gen 6 Qualcomm,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P14s Gen 7 AMD,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
