mechanism,regime,detector,mean_false_no_response,mean_missed_no_response,mean_n_no_response,false_per_user_point,false_per_user_ci_lo,false_per_user_ci_hi,mean_episode_recovery,n_replicates
union,gap_24h_high_to_low,proposed,0.067,8.6,3955.733,0.0037,0.0,0.0111,0.9982,15
union,gap_24h_around_low,naive,210.933,7.8,4292.667,11.7185,7.0534,16.836,0.9981,15
union,gap_24h_around_low,binary_gap_gate,17.0,126.267,3774.6,0.9444,0.3888,1.6631,0.9981,15
union,gap_24h_around_low,graded,18.0,9.133,3973.733,1.0,0.436,1.7149,0.9981,15
union,gap_24h_around_low,proposed,0.067,9.133,3954.8,0.0037,0.0,0.0111,0.9981,15
union,gap_24h_low_to_high,naive,210.933,8.2,4292.8,11.7185,7.2727,16.8201,0.9981,15
union,gap_24h_low_to_high,binary_gap_gate,17.0,126.667,3774.533,0.9444,0.4444,1.6667,0.9981,15
union,gap_24h_low_to_high,graded,18.0,9.2,3973.8,1.0,0.3889,1.6667,0.9981,15
union,gap_24h_low_to_high,proposed,0.0,9.2,3954.8,0.0,0.0,0.0,0.9981,15
union,gap_24h_after_end,naive,213.533,7.467,4298.267,11.863,7.0534,17.7938,0.998,15
union,gap_24h_after_end,binary_gap_gate,16.933,129.333,3772.6,0.9407,0.3406,1.5568,0.998,15
union,gap_24h_after_end,graded,18.0,11.6,3972.133,1.0,0.3849,1.6631,0.998,15
union,gap_24h_after_end,proposed,0.133,11.6,3953.267,0.0074,0.0,0.0185,0.998,15
union,gap_24h_around_deadline,naive,211.4,4.4,4300.733,11.7444,7.3437,16.7817,0.999,15
union,gap_24h_around_deadline,binary_gap_gate,17.2,122.467,3781.867,0.9556,0.388,1.6185,0.999,15
union,gap_24h_around_deadline,graded,18.2,5.267,3981.333,1.0111,0.4037,1.7828,0.999,15
union,gap_24h_around_deadline,proposed,0.2,5.267,3962.333,0.0111,0.0,0.0296,0.999,15
union,truncate_168h,naive,191.0,0.0,4287.0,10.6111,6.0,16.5583,0.9956,15
union,truncate_168h,binary_gap_gate,2.0,119.0,3773.0,0.1111,0.0,0.2778,0.9956,15
union,truncate_168h,graded,2.0,0.0,3973.0,0.1111,0.0,0.2778,0.9956,15
union,truncate_168h,proposed,0.0,13.0,3958.0,0.0,0.0,0.0,0.9956,15
union,truncate_336h,naive,188.0,10.0,4274.0,10.4444,5.9417,15.8903,0.9913,15
union,truncate_336h,binary_gap_gate,1.0,127.0,3764.0,0.0556,0.0,0.1667,0.9913,15
union,truncate_336h,graded,1.0,10.0,3962.0,0.0556,0.0,0.1667,0.9913,15
union,truncate_336h,proposed,0.0,29.0,3942.0,0.0,0.0,0.0,0.9913,15
union,sleepgaps_fleet,naive,188.0,948.533,2822.4,10.4444,6.4356,14.3674,0.769,15
union,sleepgaps_fleet,binary_gap_gate,32.867,1148.4,2372.533,1.8259,1.3331,2.3779,0.769,15
union,sleepgaps_fleet,graded,37.067,1038.0,2514.333,2.0593,1.4701,2.704,0.769,15
union,sleepgaps_fleet,proposed,26.8,1038.2,2503.4,1.4889,1.0738,1.9154,0.769,15
