user_id,final_label,recommended_action,confidence,sub_reason,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_90_10_90_ok,tail_n_80_20_80_ok,tail_n_85_15_85_ok,tail_response_rate_80_20_80_72h,relevant_response_rate_72h,tail_ac_time_ratio,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
MNISHIO1-2DR71T_mnishio1,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,medium,NO_OPPORTUNITY_LOW_CYCLING,83.5,36.0,"flat_tail=497.7d, fcc_changes=16, tail_cyc=5.0, tail_ok[90/80/85]=0/0/0, ac=0.55, min_rsoc=0.0, swing=100.0 -> no learning opportunity in flat tail",497.7,16,5.0,0,0,0,,,0.5494,0.0,100.0,100.0,994.72,QUALITY_SPARSE,ThinkPad T14s Gen 2a,Celxpert,5B10W51815,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
YSUZUKI11-9S4B8_ysuzuki11,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,83.5,50.0,"flat_tail=498.8d, fcc_changes=1, tail_cyc=215.0, tail_ok[90/80/85]=0/0/0, ac=0.93, min_rsoc=3.0, swing=97.0 -> no learning opportunity in flat tail",498.8,1,215.0,0,0,0,,,0.9272,3.0,100.0,97.0,508.58,QUALITY_OK,ThinkPad T14 Gen 3,,,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
X1YADL_KMK,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_SHALLOW_RANGE,83.3,48.2,"flat_tail=403.0d, fcc_changes=2, tail_cyc=41.0, tail_ok[90/80/85]=0/0/0, ac=0.92, min_rsoc=27.0, swing=73.0 -> no learning opportunity in flat tail",403.0,2,41.0,0,0,0,,,0.9162,27.0,100.0,73.0,465.65,QUALITY_OK,ThinkPad X1 Yoga Gen 7,Celxpert,5B10W13974,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
DESKTOP-MMH8JIS_chee1,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING,82.4,38.3,"flat_tail=156.7d, fcc_changes=0, tail_cyc=11.0, tail_ok[90/80/85]=0/0/0, ac=0.59, min_rsoc=3.0, swing=97.0 -> no learning opportunity in flat tail",156.7,0,11.0,0,0,0,,,0.5889,3.0,100.0,97.0,156.72,QUALITY_OK,ThinkPad X13s Gen 1,Celxpert,LNV-5B10W51879,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
IYOSHIMITSU-VKS_iyoshimitsu,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,82.1,50.0,"flat_tail=495.8d, fcc_changes=2, tail_cyc=65.0, tail_ok[90/80/85]=0/0/0, ac=0.85, min_rsoc=0.0, swing=100.0 -> no learning opportunity in flat tail",495.8,2,65.0,0,0,0,,,0.855,0.0,100.0,100.0,1085.72,QUALITY_OK,ThinkPad T14 Gen 3,LG,5B10W51860,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
BRYAN_X1,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,82.0,50.0,"flat_tail=539.2d, fcc_changes=13, tail_cyc=51.0, tail_ok[90/80/85]=0/0/0, ac=0.85, min_rsoc=2.0, swing=98.0 -> no learning opportunity in flat tail",539.2,13,51.0,0,0,0,,,0.8481,2.0,100.0,98.0,917.64,QUALITY_OK,ThinkPad X1 Yoga Gen 8,SMP,5B11M90056,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
IMIHO-PF2SCRY9_imiho,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,81.8,50.0,"flat_tail=604.3d, fcc_changes=0, tail_cyc=159.0, tail_ok[90/80/85]=0/0/0, ac=0.84, min_rsoc=1.0, swing=99.0 -> no learning opportunity in flat tail",604.3,0,159.0,0,0,0,,,0.8381,1.0,100.0,99.0,604.27,QUALITY_OK,ThinkPad T14 Gen 1,LG,5B10W139,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
TK-THAMES2_takay,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING,81.8,43.6,"flat_tail=193.2d, fcc_changes=1, tail_cyc=18.0, tail_ok[90/80/85]=0/0/0, ac=0.54, min_rsoc=6.0, swing=94.0 -> no learning opportunity in flat tail",193.2,1,18.0,0,0,0,,,0.5392,6.0,100.0,94.0,331.67,QUALITY_OK,ThinkPad X1 Carbon Gen 13,SMP,5B11M90097,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
MARUICHIT-CRC21_MARUICHIT,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,81.8,50.0,"flat_tail=617.5d, fcc_changes=2, tail_cyc=53.0, tail_ok[90/80/85]=0/0/0, ac=0.84, min_rsoc=0.0, swing=100.0 -> no learning opportunity in flat tail",617.5,2,53.0,0,0,0,,,0.8397,0.0,100.0,100.0,1195.9,QUALITY_OK,ThinkPad T14s Gen 2a,LG,5B10W13976,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
JFISHEL-F56FAH2_jfishel,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,medium,NO_OPPORTUNITY_UNSPECIFIED,81.4,44.3,"flat_tail=174.8d, fcc_changes=0, tail_cyc=26.0, tail_ok[90/80/85]=0/0/0, ac=0.76, min_rsoc=5.0, swing=95.0 -> no learning opportunity in flat tail",174.8,0,26.0,0,0,0,,,0.7627,5.0,100.0,95.0,174.78,QUALITY_OK,ThinkPad X1 Carbon Gen 13,SMP,5B11M90097,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
