user_id,design_mwh
LALLURI-F5FS8HX_lalluri,57000.09993004897
LAPTOP-080TD3DG_HWPA,90007.05147577314
LAPTOP-0JJ03K9D_rgibson,90007.77604976672
LAPTOP-0NPD7G3O_Tsutomu_Chonan,57028.59428114377
LAPTOP-0P70H8T7_Naito,57029.489565984135
LAPTOP-0S7K8PQH_Stan,90060.46863189721
LAPTOP-11P5VLEF_tianx,57999.17746247172
LAPTOP-11RRGHRF_2ndH28,57030.72652436106
LAPTOP-146432PF_PQM,57029.89392478303
LAPTOP-19J6LO6A_ytakeda,56998.60027994401
LAPTOP-1KS1Q32S_T14s,57000.68299346278
LAPTOP-1M50QFPI_GM,57031.32819537584
LAPTOP-1MK05N4P_hwpa,57028.87537993921
LAPTOP-1QC1JCNE_CPC-Tester12,57031.09720320751
LAPTOP-25UDU5UN_jestroff,57029.57565366481
LAPTOP-2D6R853Q_jnunez5,54699.83018679453
LAPTOP-2OC97423_Administrator,57028.33196683976
LAPTOP-2RQJAUEN_nyama,57001.40028005601
LAPTOP-38PBJKV3_Dan,90010.36269430052
LAPTOP-3GSNHJDB_GM3,75000.0
LAPTOP-49PO0SU0_ssugimoto2,89999.49944939432
LAPTOP-4K9G9BRE_TM1,57029.2054851879
LAPTOP-5U1GRQST_AN1484GM11,57999.37868903387
LAPTOP-6HHN380C_QuFei_Ou,57029.8769771529
LAPTOP-72AKT2DB_1,58000.6158267474
LAPTOP-77S3EOA5_Mao_Nakabauashi,58000.6004202942
LAPTOP-7CFQ50BM_Carl,57030.09373458313
LAPTOP-7HDJI946_MobilePE,57050.29013539651
LAPTOP-869LCUOI_panjun1,49569.88159093209
LAPTOP-88BMF4J6_Mersey,57030.48180924287
LAPTOP-891HSHPM_p14s,75002.49975002499
LAPTOP-8HCCR0QE_PE,57029.41176470588
LAPTOP-8KIMRE5B_cturner,75000.0
LAPTOP-93KHSN6N_hsouma,89997.99959991997
LAPTOP-97DA2E9K_johnny,57001.282499708526
LAPTOP-9D1AU1OG_Mersey,57030.87196361173
LAPTOP-9PGJOH9P_tianx,58019.93880169776
LAPTOP-A5C39DUF_ssugimoto2,89997.99959991997
