anchor,delay_h
start,24.18722222222222
start,15.2575
start,101.67861111111111
start,43.39222222222222
start,142.83444444444444
start,30.11777777777778
start,111.73333333333333
start,164.39055555555555
start,0.0
start,0.0
start,3.0
start,34.8125
start,5.860555555555556
start,51.17861111111111
start,19.58861111111111
start,23.52722222222222
start,3.887777777777778
start,20.961666666666666
start,3.101111111111111
start,0.0
start,19.241666666666667
start,15.241666666666667
start,0.0
start,5.0
start,68.38638888888889
start,71.56722222222223
start,8.284722222222221
start,97.6661111111111
start,6.759166666666666
start,11.435277777777777
start,12.528611111111111
start,119.97777777777777
start,19.926666666666666
start,119.69
start,94.55638888888889
start,35.87916666666667
start,8.604444444444445
start,21.39472222222222
start,23.370833333333334
start,0.9216666666666666
start,6.213055555555556
start,165.76583333333335
start,65.19305555555556
start,30.72833333333333
start,78.47527777777778
start,149.1
start,108.01361111111112
start,64.38277777777778
start,40.30694444444445
start,0.0
start,94.53527777777778
start,47.36527777777778
start,76.14722222222223
start,0.9686111111111111
